id,energy,valence,danceability,tempo,loudness,speechiness,acousticness,instrumentalness,liveness
1TfqLAPs4K3s2rJMoCokcS,0.711,0.875,0.692,125.135,-7.498,0.0317,0.225,0.0,0.12
0dOg1ySSI7NkpAe89Zo0b9,0.952,0.584,0.398,122.093,-6.042,0.061,0.000373,7.75e-05,0.1
2v7ywbUzCgcVohHaKUcacV,0.629,0.324,0.66,111.926,-12.359,0.0387,0.432,7.3e-05,0.172
7wuJGgpTNzbUyn26IOY6rj,0.723,0.19,0.431,130.141,-5.887,0.0568,0.145,0.0,0.374
5dRQUolXAVX3BbCiIxmSsf,0.757,0.582,0.555,129.607,-7.868,0.0601,0.103,1.16e-06,0.0631
5luOvrlnzfvJQdQjrScVj4,0.952,0.765,0.633,95.423,-4.274,0.0338,0.0532,1.73e-06,0.989
56GbZVwxMdf1DENCluYS8A,0.752,0.358,0.435,80.854,-6.993,0.0421,0.00939,0.000204,0.0844
77NNZQSqzLNqh2A9JhLRkg,0.802,0.472,0.491,119.25,-7.106,0.0392,0.25,0.0,0.387
7Ewz6bJ97vUqk5HdkvguFQ,0.589,0.334,0.379,140.068,-7.315,0.027,0.0473,0.0,0.122
4uvjOKsp7mSjrDhWdkLPBY,0.723,0.94,0.752,130.519,-12.126,0.0507,0.025,0.00354,0.0212
5jzma6gCzYtKB1DbEwFZKH,0.801,0.776,0.651,133.769,-7.34,0.0514,0.123,0.0,0.0825
3yDhZq8f17SmumVmEyCaRN,0.624,0.882,0.862,124.896,-11.63,0.0565,0.0192,0.000153,0.0465
2tUBqZG2AbRi7Q0BIrVrEj,0.824,0.867,0.709,118.818,-8.824,0.0453,0.207,0.000307,0.0888
7Lk83uozmGWre1q8eyOOUP,0.497,0.585,0.749,95.818,-12.609,0.105,0.41,0.0499,0.0504
31H6au3jhblhr6MMJiXnCq,0.549,0.552,0.712,109.882,-9.484,0.0254,0.011,0.0,0.118
1uvyZBs4IZYRebHIB1747m,0.452,0.179,0.373,113.212,-10.417,0.0321,0.0354,0.00227,0.689
5vmRQ3zELMLUQPo2FLQ76x,0.584,0.94,0.685,134.546,-10.616,0.0276,0.29,0.01,0.124
4RvWPyQ5RL0ao9LPZeSouE,0.795,0.535,0.645,112.067,-12.095,0.0527,0.347,0.00389,0.104
0KAiuUOrLTIkzkpfpn9jb9,0.837,0.721,0.765,122.028,-3.113,0.032,0.00107,1.06e-05,0.0801
0EdMqiKs9LKXhspeQhl4RZ,0.892,0.317,0.544,118.005,-3.212,0.0591,0.000644,0.00266,0.0832
4gMgiXfqyzZLMhsksGmbQV,0.394,0.721,0.693,104.114,-15.882,0.0428,0.0782,0.000694,0.247
64kURvB1TrjKlsCLOlOl5E,0.635,0.566,0.562,120.019,-14.307,0.0289,0.0405,0.768,0.0821
4BDnfINTlfJPmLp1UV6CXt,0.897,0.335,0.519,88.113,-3.167,0.0276,0.0071,0.539,0.211
1au2UduxcvHfa0fZS3Szci,0.735,0.964,0.607,88.894,-6.065,0.095,0.253,0.0,0.11
1au2UduxcvHfa0fZS3Szci,0.735,0.964,0.607,88.894,-6.065,0.095,0.253,0.0,0.11
5SjLRpgI7LWFzy9ggSqlkO,0.043,0.0368,0.155,135.999,-24.235,0.0379,0.984,0.961,0.0829
18AXbzPzBS8Y3AkgSxzJPb,0.239,0.298,0.446,189.507,-13.945,0.0316,0.551,4.1e-06,0.0697
18AXbzPzBS8Y3AkgSxzJPb,0.239,0.298,0.446,189.507,-13.945,0.0316,0.551,4.1e-06,0.0697
4PTG3Z6ehGkBFwjybzWkR8,0.939,0.914,0.721,113.309,-11.823,0.0376,0.115,3.79e-05,0.108
4PTG3Z6ehGkBFwjybzWkR8,0.939,0.914,0.721,113.309,-11.823,0.0376,0.115,3.79e-05,0.108
4S1VYqwfkLit9mKVY3MXoo,0.482,0.33,0.489,136.803,-9.466,0.0275,0.417,0.00227,0.235
0WQiDwKJclirSYG9v5tayI,0.769,0.876,0.523,136.162,-5.855,0.0269,0.04,0.0,0.136
2fuCquhmrzHpu5xcA1ci9x,0.712,0.462,0.671,113.805,-7.815,0.0476,0.429,0.0,0.103
6wpGqhRvJGNNXwWlPmkMyO,0.774,0.657,0.564,100.894,-9.424,0.0368,0.0135,0.00191,0.0861
7snQQk1zcKl8gZ92AnueZW,0.952,0.624,0.445,125.304,-5.321,0.0522,0.09,0.0843,0.112
0rmGAIH9LNJewFw7nKzZnc,0.959,0.812,0.541,122.805,-2.947,0.0505,0.0663,2.18e-06,0.344
5Hk4Mpex0s2ndUpDQ5v2rU,0.915,0.777,0.461,172.348,-8.524,0.0899,0.381,0.000359,0.13
4tcauy2xyIv1q0ckvQmc4H,0.892,0.979,0.741,136.403,-2.567,0.031,0.166,0.00189,0.0783
6sby78fghipoXHQLeeZFFH,0.989,0.841,0.729,126.468,-4.613,0.049,0.0102,4.43e-05,0.443
2MaBAGBIttgv86bYytdx1f,0.583,0.337,0.539,86.065,-4.935,0.0275,0.108,0.0,0.111
4CoSCPlKNrWli7E5kFtbcl,0.649,0.865,0.64,124.825,-10.345,0.0264,0.216,8.3e-05,0.0551
7HKez549fwJQDzx3zLjHKC,0.932,0.971,0.631,122.431,-4.142,0.0354,0.0429,0.137,0.0918
